N aFmax aFtol aTmax aTtol aEkmax aEktol
100000 0.0016666121521542 -0 0 -0 1.66537864882525e-09 -0
110000 0 -0 0 -0 1.66537864882525e-09 -0
120000 0 -0 0 -0 1.66537864882525e-09 -0
130000 0 -0 0 -0 1.66537864882525e-09 -0
140000 0 -0 0 -0 1.66537864882525e-09 -0
150000 0 -0 0 -0 1.66537864882525e-09 -0
160000 0 -0 0 -0 1.66537864882525e-09 -0
170000 0 -0 0 -0 1.66537864882525e-09 -0
180000 0 -0 0 -0 1.66537864882525e-09 -0
190000 0 -0 0 -0 1.66537864882525e-09 -0
200000 0.000132869574365877 -0 0 -0 1.66537864882525e-09 -0
