N ke bvol eBvol xl yl zl xh yh zh sxxLeft sxxRight syyBack syyFront szzBot szzTop pBvol
100000 0 1.8427711760354e-06 24.1280811133024 -0.000279999999998601 -0.000279999999998601 -0.000279999999998601 0.0119800000000799 0.0119800000000799 0.0119800000000799 0 0 0 0 0 0 -0
110000 0 1.84259083083634e-06 24.1256219209461 -0.000279800019998858 -0.000279800019998858 -0.000279800019998858 0.0119798000200807 0.0119798000200807 0.0119798000200807 0 0 0 0 0 0 -0
120000 0 1.84241047936959e-06 24.1231626431235 -0.000279600019999115 -0.000279600019999115 -0.000279600019999115 0.0119796000200815 0.0119796000200815 0.0119796000200815 0 0 0 0 0 0 -0
130000 0 1.84223013967167e-06 24.120703525781 -0.000279400019999372 -0.000279400019999372 -0.000279400019999372 0.0119794000200823 0.0119794000200823 0.0119794000200823 0 0 0 0 0 0 -0
140000 0 1.8420498117422e-06 24.1182445689134 -0.000279200019999629 -0.000279200019999629 -0.000279200019999629 0.0119792000200831 0.0119792000200831 0.0119792000200831 0 0 0 0 0 0 -0
150000 0 1.8418694955808e-06 24.1157857725156 -0.000279000019999886 -0.000279000019999886 -0.000279000019999886 0.0119790000200839 0.0119790000200839 0.0119790000200839 0 0 0 0 0 0 -0
160000 0 1.84168919118707e-06 24.113327136582 -0.000278800020000143 -0.000278800020000143 -0.000278800020000143 0.0119788000200847 0.0119788000200847 0.0119788000200847 0 0 0 0 0 0 -0
170000 0 1.84150889856064e-06 24.1108686611077 -0.0002786000200004 -0.0002786000200004 -0.0002786000200004 0.0119786000200855 0.0119786000200855 0.0119786000200855 0 0 0 0 0 0 -0
180000 0 1.84132861770112e-06 24.1084103460873 -0.000278400020000657 -0.000278400020000657 -0.000278400020000657 0.0119784000200863 0.0119784000200863 0.0119784000200863 0 0 0 0 0 0 -0
190000 0 1.84114834860813e-06 24.1059521915156 -0.000278200020000914 -0.000278200020000914 -0.000278200020000914 0.0119782000200871 0.0119782000200871 0.0119782000200871 0 0 0 0 0 0 -0
200000 0 1.84096809128128e-06 24.1034941973874 -0.000278000020001172 -0.000278000020001172 -0.000278000020001172 0.0119780000200879 0.0119780000200879 0.0119780000200879 0 0 0 0 0 0 -0
