N ke bvol eBvol eProb xl yl zl xh yh zh sxxProb syyProb szzProb sxyProb sxzProb syzProb sxzTopWall syzTopWall szzTopWall sxyBotWall sxzBotWall syzBotWall
300000 0 1.83625854177371e-06 24.0392746439386 24.0460241312802 -0.000271155655477042 -0.000271155655477042 -0.000276000040003743 0.0119711556555638 0.0119711556555638 0.0119760000400959 -0 -0 -0 0 0 0 0 0 0 0 0 0
310000 0 1.83578816734514e-06 24.0328606046111 24.040425794336 -0.000270471510823745 -0.000270471510823745 -0.000275800060004 0.0119704715109105 0.0119704715109105 0.0119758000600967 -0 -0 -0 0 0 0 0 0 0 0 0 0
320000 0 1.83531781855656e-06 24.0264469149112 24.0348275233415 -0.00026978729774914 -0.00026978729774914 -0.000275600060004257 0.0119697872978359 0.0119697872978359 0.0119756000600975 -0 -0 -0 0 0 0 0 0 0 0 0 0
330000 0 1.83484754244925e-06 24.0200342162952 24.0292298782177 -0.000269103084674535 -0.000269103084674535 -0.000275400060004514 0.0119691030847613 0.0119691030847613 0.0119754000600983 -0 -0 -0 0 0 0 0 0 0 0 0 0
340000 0 1.83437733901873e-06 24.013622508702 24.0236328589647 -0.000268418871599931 -0.000268418871599931 -0.000275200060004771 0.0119684188716867 0.0119684188716867 0.0119752000600991 -0 -0 -0 0 0 0 0 0 0 0 0 0
350000 0 1.83390720826051e-06 24.0072117920705 24.0180364655826 -0.000267734658525326 -0.000267734658525326 -0.000275000060005028 0.0119677346586121 0.0119677346586121 0.0119750000600999 -0 -0 -0 0 0 0 0 0 0 0 0 0
360000 0 1.83343715017007e-06 24.0008020663388 24.0124406980713 -0.000267050445450721 -0.000267050445450721 -0.000274800060005285 0.0119670504455375 0.0119670504455375 0.0119748000601007 -0 -0 -0 0 0 0 0 0 0 0 0 0
370000 0 1.83296716474294e-06 23.9943933314462 24.0068455564307 -0.000266366232376116 -0.000266366232376116 -0.000274600060005542 0.0119663662324629 0.0119663662324629 0.0119746000601015 -0 -0 -0 0 0 0 0 0 0 0 0 0
380000 0 1.83249725197462e-06 23.9879855873312 24.001251040661 -0.000265682019301512 -0.000265682019301512 -0.000274400060005799 0.0119656820193883 0.0119656820193883 0.0119744000601023 -0 -0 -0 0 0 0 0 0 0 0 0 0
390000 0 1.83202741186061e-06 23.9815788339325 23.9956571507619 -0.000264997806226907 -0.000264997806226907 -0.000274200060006056 0.0119649978063137 0.0119649978063137 0.0119742000601031 -0 -0 -0 0 0 0 0 0 0 0 0 0
400000 0 1.83155764439642e-06 23.9751730711888 23.9900638867337 -0.000264313593152302 -0.000264313593152302 -0.000274000060006313 0.0119643135932391 0.0119643135932391 0.0119740000601039 -0 -0 -0 0 0 0 0 0 0 0 0 0
